Vsupply,Vce,Vbe,Vbc
0.0,2.74,0.0,-2.72
0.1,2.74,0.10,-2.62
0.2,2.74,0.20,-2.52
0.3,2.74,0.30,-2.42
0.4,2.74,0.40,-2.32
0.5,2.74,0.50,-2.22
0.6,2.74,0.60,-2.12
0.7,2.74,0.66,-2.07
0.8,.74,0.69,-0.12
0.9,.18,0.69,0.51
1.0,.16,0.69,0.53
1.1,.14,0.69,0.55
1.2,.13,0.70,0.56
1.3,.12,0.70,0.57
1.4,.11,0.70,0.58
1.5,.11,0.70,0.59
1.6,.11,0.70,0.59
1.7,.10,0.70,0.60
1.8,.10,0.70,0.60
1.9,.10,0.71,0.61
2.0,.10,0.71,0.61
2.1,.10,0.71,0.62
2.2,.09,0.71,0.62
2.3,.09,0.71,0.62
2.4,.09,0.71,0.63
2.5,.08,0.71,0.63
3.0,.07,.72,.64
4.0,.06,.72,.66
5.0,.05,.73,.68